Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Apollo Client,74186.201137,0.00%,27.654731,8.08%,High difficulty to fill,6.67%
Humanism,26723.253257,0.00%,28.213333,2.97%,Medium difficulty to fill,0.00%
Classical Guitar,9789.268641,0.00%,34.027027,1.33%,Low difficulty to fill,0.00%
TYPO3,0,0.00%,29.5,0.00%,Low difficulty to fill,-100.00%
International Financial Management,61226.121205,0.00%,33.261905,8.12%,High difficulty to fill,0.00%
Cisco Unified Wireless Networking,56930.979048,0.00%,24.756757,5.50%,Medium difficulty to fill,-33.33%
Inode,28669.403257,0.00%,30.47619,3.46%,Medium difficulty to fill,-28.57%
Magazine Design,7343.273721,0.00%,34.22619,1.00%,Low difficulty to fill,-33.33%
SPC XL,23965.884026,0.00%,36.882353,3.55%,Medium difficulty to fill,-100.00%
Catalytic Reactors,14013.137872,0.00%,28.731707,1.59%,Low difficulty to fill,-66.67%
Fetal Surgery,56481.193835,0.00%,30.544944,6.84%,High difficulty to fill,4.00%
Exhaust Manifold,5387.01565,0.00%,31.923077,0.68%,Low difficulty to fill,-50.00%
Ssrs 2012,44705.371205,0.00%,24.678571,4.30%,Medium difficulty to fill,-50.00%
Google Wallet,23107.966904,0.00%,36.262821,3.36%,Medium difficulty to fill,-25.00%
Biocatalysis,28590.24088,0.00%,30.670455,3.48%,Medium difficulty to fill,8.33%
Nitrogen Phosphorus Detector,12761.546644,0.00%,26.192308,1.31%,Low difficulty to fill,0.00%
Patch Clamp,4409.56565,0.00%,29.442308,0.51%,Low difficulty to fill,-12.50%
Troux (Enterprise Architecture Software),73461.006622,0.00%,22.140496,6.28%,High difficulty to fill,-33.33%
Air Stripping,3183.973356,0.00%,34.294118,0.44%,Low difficulty to fill,0.00%
Database Scanners,11366.752158,0.00%,27.928571,1.25%,Low difficulty to fill,0.00%
Ingrown Toenail,42321.449637,0.00%,30.43299,5.11%,Medium difficulty to fill,0.00%
Census Enumeration,0,0.00%,32,0.00%,Low difficulty to fill,0.00%
Flail Mowers,0,0.00%,32.589928,0.00%,Low difficulty to fill,0.00%
Vibrating Sample Magnetometer,20343.437872,0.00%,22.384615,1.76%,Low difficulty to fill,-25.00%
Homology Modeling,66715.805314,0.00%,31.888889,8.46%,High difficulty to fill,12.50%
Doppler Effect,20048.237872,0.00%,30,2.38%,Low difficulty to fill,0.00%
Iris Recognition,56345.537872,0.00%,19.666667,4.22%,Medium difficulty to fill,0.00%
Modulo,29559.31565,0.00%,26.030303,3.01%,Medium difficulty to fill,-50.00%
Virtual Instrumentation,27004.760094,0.00%,30.106383,3.22%,Medium difficulty to fill,-12.50%
Sour Gas,54003.135433,0.00%,29.345679,6.27%,High difficulty to fill,-50.00%
Management Information Base,20179.861401,0.00%,26.666667,2.11%,Low difficulty to fill,-57.14%
Automatic Updates,4102.752158,0.00%,25.215686,0.40%,Low difficulty to fill,50.00%
Tap Dance,0,0.00%,28.961905,0.00%,Low difficulty to fill,-21.43%
Military Computers,0,0.00%,41,0.00%,Low difficulty to fill,0.00%
Form-Z,1937.537872,0.00%,31.16129,0.24%,Low difficulty to fill,-25.00%
Palo Alto Wildfire,73741.014062,0.00%,27.9,8.10%,High difficulty to fill,0.00%
British Hospitality Association,1613.371205,0.00%,33.238095,0.21%,Low difficulty to fill,-50.00%
Control Of Major Accident Hazards Regulations,21603.037872,0.00%,28.052083,2.39%,Low difficulty to fill,16.67%
Boy Scouts,0,0.00%,31.42069,0.00%,Low difficulty to fill,0.00%
Atlas DMT,20739.990253,0.00%,34.625,2.87%,Medium difficulty to fill,0.00%
Thermodynamic Process,15065.306165,0.00%,34.5,2.08%,Low difficulty to fill,0.00%
Windows Photo Gallery,0,0.00%,16.5,0.00%,Low difficulty to fill,0.00%
CD-RW,0,0.00%,18.5,0.00%,Low difficulty to fill,0.00%
PyCharm,64755.004539,0.00%,25.008929,6.32%,High difficulty to fill,-18.75%
Premarket Approval Application (PMA),53579.615337,0.00%,26.9,5.66%,High difficulty to fill,-66.67%
Generalized Multi-Protocol Label Switching,67326.937872,0.00%,27.571429,7.31%,High difficulty to fill,0.00%
Thinking Maps,0,0.00%,29.597403,0.00%,Low difficulty to fill,-14.29%
SQL Server Master Data Services,62073.037872,0.00%,15.2,3.48%,Medium difficulty to fill,-100.00%
Kannada Language,7580.743754,0.00%,26.867769,0.80%,Low difficulty to fill,-100.00%
PVT Analysis,53980.243,0.00%,27.245283,5.78%,High difficulty to fill,-100.00%
Heterojunction,26703.037872,0.00%,,-0.23%,Low difficulty to fill,0.00%
Spin Column-Based Nucleic Acid Purification,17147.353661,0.00%,26.202128,1.76%,Low difficulty to fill,-100.00%
Currency Futures,96444.827346,0.00%,27.866667,10.59%,High difficulty to fill,-16.67%
Particle Swarm Optimization,68266.637872,0.00%,35.090909,9.59%,High difficulty to fill,-50.00%
Scenekit,62037.237872,0.00%,22.888889,5.50%,Medium difficulty to fill,-100.00%
Microsoft Dynamics 365 for Finance and Operations,52540.024656,0.00%,29.206452,6.07%,High difficulty to fill,13.64%
CityEngine,32685.787872,0.00%,34.764706,4.54%,Medium difficulty to fill,-33.33%
Synoptic Scale Meteorology,12247.072355,0.00%,29.294118,1.42%,Low difficulty to fill,-16.67%
Batch Reactor,0,0.00%,31.679245,0.00%,Low difficulty to fill,0.00%
Redistribution Layer,47338.137872,0.00%,27,5.02%,Medium difficulty to fill,-28.57%
System For Electronic Document Analysis And Retrieval,19542.537872,0.00%,22.903226,1.73%,Low difficulty to fill,-50.00%
Paid Inclusion,,0.00%,48.333333,0.00%,Low difficulty to fill,-100.00%
Mobile Rich Media Ad Interface Definitions (MRAID),91180.237872,0.00%,28.368932,10.20%,High difficulty to fill,-18.18%
ProtoShare,3469.037872,0.00%,27.8,0.38%,Low difficulty to fill,0.00%
Dual Processor,0,0.00%,23.25,0.00%,Low difficulty to fill,0.00%
Text Database,0,0.00%,29.666667,0.00%,Low difficulty to fill,-66.67%
Chaincode,59865.537872,0.00%,26.933333,6.33%,High difficulty to fill,0.00%
Coagulase,11609.037872,0.00%,25.583333,1.16%,Low difficulty to fill,0.00%
Neutron Detection,52546.148983,0.00%,30.761905,6.41%,High difficulty to fill,-66.67%
NDepend,52658.096696,0.00%,27.28125,5.65%,High difficulty to fill,0.00%
Nosetest,58150.287872,0.00%,28,6.42%,High difficulty to fill,-66.67%
Propaganda,0,0.00%,25.8,0.00%,Low difficulty to fill,0.00%
WaveLab,0,0.00%,31.933333,0.00%,Low difficulty to fill,-100.00%
Thomson Reuters Eikon,77250.037872,0.00%,36.714286,11.38%,High difficulty to fill,-100.00%
Extended X-Ray Absorption Fine Structure,12784.037872,0.00%,32.5,1.65%,Low difficulty to fill,0.00%
Telephony Service Provider,14210.437872,0.00%,25.6,1.42%,Low difficulty to fill,-100.00%
Amazon Personalize,105510.987872,0.00%,27.3,11.33%,High difficulty to fill,-80.00%
Decentralized Blockchains,,0.00%,31.722222,0.00%,Low difficulty to fill,0.00%
Shama Language,0,0.00%,18.821429,0.00%,Low difficulty to fill,0.00%
Intracranial Aneurysm,31973.680729,0.00%,30.985915,3.93%,Medium difficulty to fill,-25.00%
ISO/IEC 11801,45390.437872,0.00%,34.5,6.26%,High difficulty to fill,0.00%
HP Systems Insight Manager,25162.434424,0.00%,30.672414,3.06%,Medium difficulty to fill,100.00%
Multiple Dwelling Reporting Rule (MDRR),,0.00%,,0.00%,Low difficulty to fill,0.00%
IGMP Snooping,88960.180729,0.00%,34.619048,12.31%,High difficulty to fill,-20.00%
Tally System,0,0.00%,30.2,0.00%,Low difficulty to fill,0.00%
Bioanalyst Laboratory Management (BLM),31603.037872,0.00%,32,4.02%,Medium difficulty to fill,0.00%
Cellular Digital Packet Data,31994.746205,0.00%,32.666667,4.16%,Medium difficulty to fill,-100.00%
Adobe Flash Builder,39136.946963,0.00%,30.368421,4.71%,Medium difficulty to fill,-100.00%
Malaysian Language,,0.00%,25.536585,0.00%,Low difficulty to fill,-100.00%
MapleSim,76197.704539,0.00%,26.166667,7.81%,High difficulty to fill,-50.00%
Rfc2822,74603.037872,0.00%,7,1.58%,Low difficulty to fill,0.00%
BeFunky,2125.537872,0.00%,34.333333,0.29%,Low difficulty to fill,0.00%
Vessel Monitoring Systems,14195.637872,0.00%,24.181818,1.34%,Low difficulty to fill,-33.33%
Ebean,69014.310599,0.00%,27.816327,7.56%,High difficulty to fill,-30.00%
Open Space Technology,45269.704539,0.00%,39,7.11%,High difficulty to fill,0.00%
Space Manufacturing,33522.767933,0.00%,30.700405,4.08%,Medium difficulty to fill,-13.33%
Viability Assay,22650.812066,0.00%,30.157895,2.71%,Low difficulty to fill,-33.33%
Retort,0,0.00%,29.5,0.00%,Low difficulty to fill,11.11%
Serials Management,0,0.00%,32.265957,0.00%,Low difficulty to fill,-21.43%
QARun,5459.895015,0.00%,25.272727,0.54%,Low difficulty to fill,-100.00%
Microsoft Office Document Imaging,0,0.00%,30.619048,0.00%,Low difficulty to fill,-100.00%
SiMotion,22264.632467,0.00%,27.380952,2.40%,Low difficulty to fill,0.00%
Server-Based Certificate Validation Protocol (SCVP),91603.037872,0.00%,22.714286,8.05%,High difficulty to fill,0.00%
Endgame Tablebase,50250.871205,0.00%,26.111111,5.14%,Medium difficulty to fill,0.00%
AirSnort,50253.037872,0.00%,33,6.61%,High difficulty to fill,-50.00%
Dependency Walker,46239.837872,0.00%,26.75,4.86%,Medium difficulty to fill,0.00%
Structured Analysis And Design Technique,56760.037872,0.00%,29.571429,6.64%,High difficulty to fill,0.00%
Axial Piston Pump,,0.00%,35.583333,0.00%,Low difficulty to fill,0.00%
USB Mass Storage Device Class,,0.00%,34.090909,0.00%,Low difficulty to fill,0.00%
NetStumbler,67203.037872,0.00%,23.076923,6.01%,High difficulty to fill,0.00%
DirectFB,46742.609301,0.00%,25.933333,4.75%,Medium difficulty to fill,0.00%
Maximizer Software,52106.093428,0.00%,24.941176,5.07%,Medium difficulty to fill,0.00%
Gaming Machines,20779.037872,0.00%,6.625,0.41%,Low difficulty to fill,-33.33%
Corridor Analysis,23991.096696,0.00%,30.333333,2.88%,Medium difficulty to fill,0.00%
Electronic Data Information Source,0,0.00%,29.5,0.00%,Low difficulty to fill,-50.00%
Cracking Of Wireless Networks,,0.00%,13.333333,0.00%,Low difficulty to fill,0.00%
Family Constellations,6479.148983,0.00%,33.6,0.87%,Low difficulty to fill,0.00%
Mwan Language,,0.00%,19,0.00%,Low difficulty to fill,0.00%
Solar Thermal Installation,0,0.00%,28.842105,0.00%,Low difficulty to fill,0.00%
Arithmetic Logic Unit,,0.00%,35.555556,0.00%,Low difficulty to fill,0.00%
Statistical Coupling Analysis,65107.437872,0.00%,38,9.95%,High difficulty to fill,0.00%
Watchdog Timer,29411.537872,0.00%,25.375,2.92%,Medium difficulty to fill,0.00%
Superconducting Quantum Interference Device (SQUID),23599.287872,0.00%,37,3.50%,Medium difficulty to fill,-100.00%
Stainless Steel Strainer,0,0.00%,28.25,0.00%,Low difficulty to fill,0.00%
Counter Terrorist Check (CTC),,0.00%,9,0.00%,Low difficulty to fill,0.00%
Video Memory,25003.037872,0.00%,31.666667,3.15%,Medium difficulty to fill,0.00%
NetBSD,52561.837872,0.00%,23.5,4.80%,Medium difficulty to fill,0.00%
Hawtio,50575.73018,0.00%,19,3.65%,Medium difficulty to fill,0.00%
Erratum,,0.00%,,0.00%,Low difficulty to fill,0.00%
Query String,31692.609301,0.00%,26,3.23%,Medium difficulty to fill,0.00%
Motor Capacitor,0,0.00%,27.333333,0.00%,Low difficulty to fill,0.00%
Flyway,,0.00%,,0.00%,Low difficulty to fill,0.00%
Speex,,0.00%,,0.00%,Low difficulty to fill,0.00%
Poloniex,63553.037872,0.00%,27.571429,6.90%,High difficulty to fill,0.00%
Dedicated Short-Range Communications,24996.871205,0.00%,32.5,3.24%,Medium difficulty to fill,0.00%
Favicon,66603.037872,0.00%,25.25,6.57%,High difficulty to fill,0.00%
Autogas,,0.00%,19,0.00%,Low difficulty to fill,0.00%
Surface Energy Balance Algorithm For Land (SEBAL),0,0.00%,,0.00%,Low difficulty to fill,0.00%
LithTech,,0.00%,17,0.00%,Low difficulty to fill,0.00%
Signal Compression,77303.037872,0.00%,35.8,11.09%,High difficulty to fill,0.00%
LoJack,,0.00%,23,0.00%,Low difficulty to fill,0.00%
Egnyte,,0.00%,5,0.00%,Low difficulty to fill,0.00%
Multidimensional Database Management Systems,19826.037872,0.00%,22.444444,1.72%,Low difficulty to fill,-100.00%
Cryogenic Grinding,0,0.00%,11,0.00%,Low difficulty to fill,0.00%
AlphaBasic,136603.037872,0.00%,29.5,15.94%,High difficulty to fill,0.00%
Data Smoothing,116603.037872,0.00%,37,17.32%,High difficulty to fill,0.00%
Rotary Encoder,0,0.00%,14,0.00%,Low difficulty to fill,0.00%
Borland Together,41185.037872,0.00%,8.333333,1.11%,Low difficulty to fill,0.00%
Ajax4jsf,,0.00%,,0.00%,Low difficulty to fill,0.00%
Rich Text Format,,0.00%,,0.00%,Low difficulty to fill,0.00%
JCreator,44103.037872,0.00%,12,1.87%,Low difficulty to fill,0.00%
Lactate Dehydrogenase,,0.00%,23,0.00%,Low difficulty to fill,0.00%
Nick Translation,0,0.00%,59,0.00%,Low difficulty to fill,0.00%
Radioisotope Renography,105853.037872,0.00%,52,22.46%,High difficulty to fill,0.00%
NOAA Weather Radio,,0.00%,,0.00%,Low difficulty to fill,0.00%
Fluxbox,,0.00%,10,0.00%,Low difficulty to fill,0.00%
Packet Injection,46843.037872,0.00%,20,3.58%,Medium difficulty to fill,0.00%
Extreme Cloud Administration Toolkit (XCAT),,0.00%,27,0.00%,Low difficulty to fill,0.00%
Precision Time Protocols,,0.00%,,0.00%,Low difficulty to fill,0.00%
AutoRun,14005.037872,0.00%,28.2,1.56%,Low difficulty to fill,0.00%
Socket.io,84283.037872,0.00%,37,12.52%,High difficulty to fill,0.00%
Internet Map Server,16599.037872,0.00%,47,3.17%,Medium difficulty to fill,0.00%
Pervasive Business Intelligence,,0.00%,,0.00%,Low difficulty to fill,0.00%
Corda,,0.00%,,0.00%,Low difficulty to fill,0.00%
Tracking (Commercial Airline Flight),,0.00%,33,0.00%,Low difficulty to fill,0.00%
Food Drives,0,0.00%,45,0.00%,Low difficulty to fill,0.00%
Desorption,,0.00%,,0.00%,Low difficulty to fill,0.00%
Remote Database Access,6703.037872,0.00%,24.333333,0.64%,Low difficulty to fill,0.00%
Sumo Paint,,0.00%,22.5,0.00%,Low difficulty to fill,0.00%
Quadtree,0,0.00%,21,0.00%,Low difficulty to fill,0.00%
Scrollview,,0.00%,,0.00%,Low difficulty to fill,0.00%
Dc.js (Javascript Library),0,0.00%,23,0.00%,Low difficulty to fill,0.00%
Optical Beam-Induced Current,,0.00%,,0.00%,Low difficulty to fill,0.00%
MetaTrader 4,107163.037872,0.00%,32,13.64%,High difficulty to fill,0.00%
Augmented Dickey-Fuller Test,62703.037872,0.00%,,-0.53%,Low difficulty to fill,0.00%
Nemetschek ALLPLAN,,0.00%,34,0.00%,Low difficulty to fill,0.00%
Wide Area Telephone Services,,0.00%,,0.00%,Low difficulty to fill,0.00%
3DML,98803.037872,0.00%,17,6.29%,High difficulty to fill,0.00%
Child Trust Fund,,0.00%,46,0.00%,Low difficulty to fill,0.00%
Labor Court,,0.00%,,0.00%,Low difficulty to fill,0.00%
Blood Sugar Regulation,59669.704539,0.00%,38.5,9.24%,High difficulty to fill,0.00%
Subframe,,0.00%,45,0.00%,Low difficulty to fill,0.00%
Omnitrans,,0.00%,55,0.00%,Low difficulty to fill,0.00%
Alteryx,50416.70235,0.08%,28.710506,5.71%,High difficulty to fill,-0.46%
Supply Chain,28757.623616,1.10%,29.598991,3.37%,Medium difficulty to fill,-1.90%
Fabrication,0,0.28%,30.049036,0.00%,Low difficulty to fill,-0.65%
Patient Education And Counseling,21390.840178,0.84%,30.103057,2.55%,Low difficulty to fill,-1.26%
Teacher Education,0,0.01%,32.244051,0.00%,Low difficulty to fill,-5.22%
Enterprise Application Software,47091.609667,0.29%,28.949636,5.39%,Medium difficulty to fill,5.91%
Scrum (Software Development),60168.245679,0.93%,27.338037,6.47%,High difficulty to fill,-1.49%
Thought Leadership,75207.366537,0.49%,29.673392,8.83%,High difficulty to fill,4.47%
Cell Cultures,10068.833477,0.09%,30.170321,1.20%,Low difficulty to fill,5.95%
JCAHO Standards,15340.388389,0.12%,30.061351,1.83%,Low difficulty to fill,-2.73%
Medical Privacy,6337.005367,0.48%,29.83902,0.75%,Low difficulty to fill,5.37%
Mail Distribution,0,0.05%,28.752447,0.00%,Low difficulty to fill,6.22%
Canadian Payroll,19207.150568,0.00%,30.172902,2.30%,Low difficulty to fill,-5.26%
Design Elements And Principles,44507.216136,0.13%,28.15868,4.94%,Medium difficulty to fill,3.19%
Orthopedics,24682.431176,0.39%,29.874823,2.92%,Medium difficulty to fill,1.07%
CPT Coding,1454.914614,0.26%,30.060705,0.17%,Low difficulty to fill,-4.85%
LabVIEW,42386.226723,0.05%,28.776452,4.82%,Medium difficulty to fill,6.28%
UI/UX Research,63303.148998,0.05%,27.752246,6.92%,High difficulty to fill,14.11%
Sales Support,9042.830908,0.40%,29.890581,1.07%,Low difficulty to fill,-4.06%
Virtual Health,14203.241769,0.01%,29.642509,1.67%,Low difficulty to fill,4.57%
Respiratory Therapy,24672.102749,0.20%,29.431255,2.87%,Medium difficulty to fill,3.16%
Casting,0,0.04%,30.635628,0.00%,Low difficulty to fill,-6.42%
Paneling,0,0.01%,32.269823,0.00%,Low difficulty to fill,-5.09%
Google Meet,19464.84413,0.02%,30.736671,2.37%,Low difficulty to fill,-5.59%
Cisco WebEx,18409.214566,0.08%,28.794146,2.09%,Low difficulty to fill,-2.49%
Pharmacy Operations,32321.143384,0.11%,30.062312,3.85%,Medium difficulty to fill,4.66%
Flashing (Weatherproofing),0,0.04%,32.136949,0.00%,Low difficulty to fill,-10.53%
Social Engineering,41565.630895,0.01%,29.404653,4.83%,Medium difficulty to fill,5.00%
Community Design,33229.694243,0.00%,30.094131,3.96%,Medium difficulty to fill,-6.25%
Recruitment Strategies,14613.99781,0.16%,30.039065,1.74%,Low difficulty to fill,6.23%
Project Commissioning,32854.510206,0.01%,30.940077,4.03%,Medium difficulty to fill,-8.14%
Small Molecules,63894.801912,0.03%,30.001126,7.59%,High difficulty to fill,6.44%
Stock Rotation,0,0.23%,31.428334,0.00%,Low difficulty to fill,8.69%
Population Health,40222.806136,0.09%,30.736123,4.90%,Medium difficulty to fill,-5.80%
Service Strategy,40591.352017,0.02%,29.870998,4.80%,Medium difficulty to fill,4.17%
Numeric Data Entry,0,0.02%,30.033721,0.00%,Low difficulty to fill,-1.43%
Traffic Engineering,30633.915843,0.02%,30.366639,3.69%,Medium difficulty to fill,3.09%
Life Coaching,14086.131048,0.09%,30.845196,1.72%,Low difficulty to fill,-2.38%
Circulatory System,21475.101679,0.04%,29.640744,2.52%,Low difficulty to fill,-1.02%
Site Planning,24544.176508,0.02%,31.1383,3.03%,Medium difficulty to fill,-0.97%
Child Welfare,0,0.08%,30.881809,0.00%,Low difficulty to fill,-0.32%
Mental Health Counseling,16532.774155,0.05%,29.979587,1.96%,Low difficulty to fill,1.12%
Preschool Education,0,0.30%,31.741356,0.00%,Low difficulty to fill,5.81%
Windows Servers,28836.473377,0.20%,27.68233,3.14%,Medium difficulty to fill,-3.61%
Hardware Asset Management,37000.84007,0.00%,26.971606,3.92%,Medium difficulty to fill,23.49%
Comprehensive Planning,23373.217888,0.06%,30.815354,2.86%,Medium difficulty to fill,-1.25%
Blender (Device),0,0.03%,30.755176,0.00%,Low difficulty to fill,-5.21%
Game Engine,67673.446045,0.01%,29.722564,7.96%,High difficulty to fill,5.24%
Project Proposals,35278.381782,0.06%,29.603501,4.13%,Medium difficulty to fill,7.71%
Content Design,33429.88559,0.02%,29.232824,3.86%,Medium difficulty to fill,5.11%
Dual Diagnosis,4841.75035,0.03%,29.98146,0.57%,Low difficulty to fill,-12.34%
Catering Sales,883.01989,0.04%,31.495507,0.11%,Low difficulty to fill,-2.24%
Plaintiff,22244.627637,0.02%,31.765226,2.81%,Medium difficulty to fill,3.98%
Final Cut Pro,0,0.01%,30.722723,0.00%,Low difficulty to fill,-2.02%
Mathematical Analysis,38655.459395,0.01%,29.021418,4.43%,Medium difficulty to fill,-8.13%
Research Papers,30100.285382,0.01%,29.93432,3.57%,Medium difficulty to fill,0.53%
Family Therapy,13096.398855,0.14%,30.168226,1.57%,Low difficulty to fill,-2.58%
Social Determinants Of Health,19604.36137,0.04%,30.790647,2.40%,Low difficulty to fill,6.87%
Payroll Processing,0,0.23%,30.301785,0.00%,Low difficulty to fill,-3.18%
Economic Development,19729.01739,0.05%,30.833156,2.41%,Low difficulty to fill,-6.07%
White Space Development,71534.115297,0.02%,29.555033,8.36%,High difficulty to fill,4.18%
Marketing Intelligence,41298.048764,0.01%,29.836998,4.88%,Medium difficulty to fill,6.58%
