Skills_Label,Growth Category,Mid Scenario
Oracle Autonomous Database,Rapidly Growing,-50.00%
General Algebraic Modeling Systems,,
Showit Website Builder,Lagging,0.00%
Typemock,,
Cognos Powerplay,Lagging,-100.00%
Greedy Algorithm,Lagging,0.00%
VuePress,,
Cropper,,
XML Representations Of Lexicons,Stable,-16.67%
Derivatization,Rapidly Growing,0.00%
Dell PowerConnect,Rapidly Growing,0.00%
Asset Liquidation,Rapidly Growing,-66.67%
Kinetic Typography,Rapidly Growing,0.00%
Office Open XML,Rapidly Growing,50.00%
Intermittent Explosive Disorder,Growing,-16.67%
Economic Policy Analysis,Rapidly Growing,0.00%
Japanese Industrial Standards,Rapidly Growing,-50.00%
Araxis Merge,Lagging,0.00%
Social Impact Bond,Lagging,-100.00%
Colloidal Chemistry,Rapidly Growing,-100.00%
FileMan,Lagging,-12.50%
Travel Insurance,Lagging,-50.00%
Indegy,,
IBM Rational Functional Tester,Rapidly Growing,-100.00%
Symbol Table,,
Facelets,Rapidly Growing,0.00%
Suitecrm,Lagging,-26.67%
Digital Storage Systems Interconnect,Lagging,-100.00%
Query Expressions,Lagging,0.00%
Application Specific Instruction Set Processors,,
TA Cloning,,
Minimal Clinically Important Difference (Medical Statistics),,
Classical Physics,Rapidly Growing,-50.00%
Energy Dispersive X-Ray Fluorescence,,
EuroCodes (Building Code),,
Stetho,,
Lindenmayer System (L-System),,
OpenSSO,Rapidly Growing,0.00%
Ansoff Matrix,,
Monkeytalk,,
HP Neoview,,
Pool Plant Operations,,
Kinvey,,
KairosDB,,
Seam Sealant,,
Skin Grafting,Lagging,-100.00%
Solid-State Fermentation,Rapidly Growing,0.00%
Oracle PartnerNetworks,Lagging,-100.00%
Critical Section,Lagging,-100.00%
LoadComplete,,
Netscape Mail And Newsgroups,,
X-Ray Absorption Fine Structures,,
Online Identity Management,Lagging,-100.00%
Hocon,,
International Economic Law,Lagging,-50.00%
Psychrometrics,,
Vsftpd,Lagging,0.00%
Merise,,
Homestay,,
Basic Disaster Life Support (BDLS),,
FastCAD,,
Ngfor,,
Magnetic Declination,,
Hyperbolic Function,,
Nokogiri (Software),,
Wikitude,,
InSSIDer,Lagging,0.00%
PDFlib,,
Cfdocument,,
Incentive Stock Option,Rapidly Growing,16.67%
CAN-SPAM Act,,
Optical DPSK Demodulator,,
Microdata,,
H.261 Protocol,,
In Vehicle Monitoring System (IVMS),,
PackML,,
ArcGIS Viewer For Flex,,
Completely Randomized Design,,
Variety Stores,,
Directory Services Markup Language (XML-Based Standards),,
Scholastic READ 180,,
Geopy,,
Google Identity Toolkit,,
Hessian (Web Service Protocol),,
Multidimensional Database,,
Music Laws,,
SCSS Mixins,,
Rotary Cell Culture Systems,,
PDF Split And Merge,,
Landing Platform Helicopter (LPH),,
IBM RSCT,,
Heat Fusion,,
CINT,,
Quo Warranto,,
Graphical Kernel Systems,,
Surface Photovoltage,,
Gtkmm,,
Geography Of Africa,,
Planishing,,
Amazon Cloud Directory,,
PHP Editor,,
MongoEngine,,
Eprint,,
Optical Disc Drives,,
Bridge Pattern,,
WeatherBug,,
Busy-Hour Call Attempts,,
Symbolic Stream Generator,,
Nonce,,
Illuminator,Lagging,-100.00%
Data Radio Channel,,
Mini DisplayPort,,
Tfs2010,,
Statistical Static Timing Analysis (SSTA),,
Developmental Disabilities,Growing,0.21%
Medication Administration,Stable,1.40%
Pre-Clinical Development,Stable,4.19%
Risk Mitigation,Growing,-3.77%
Adult Education,Growing,-3.56%
Project Management Software,Stable,0.61%
Machine Learning,Growing,10.07%
End-User Training And Support,Rapidly Growing,-5.26%
Talent Acquisition,Growing,2.95%
Income Tax,Lagging,3.68%
Organizational Leadership,Growing,-4.37%
Ambulatory Care,Growing,-3.44%
Air Brakes,Lagging,-5.39%
Geriatrics,Growing,-1.15%
Pulmonology,Growing,7.50%
Staff Management,Rapidly Growing,-1.57%
Epic EMR,Growing,1.80%
Commercial Construction,Rapidly Growing,4.83%
Cloud Computing,Growing,8.80%
Availability Management,Lagging,-6.36%
Apache Hive,Growing,12.84%
Behavior Based Safety,Lagging,-2.94%
Wireless Paging Systems,Lagging,-3.63%
Emergency Medical Services,Lagging,-10.78%
Unified Modeling Language,Stable,-7.35%
Product Design,Growing,4.81%
Risk Modeling,Growing,6.89%
Intercom,Rapidly Growing,0.32%
Molecular Biology,Growing,8.18%
Contract Management,Growing,5.16%
Traffic Control Devices,Rapidly Growing,-2.80%
Process Improvement,Rapidly Growing,-1.20%
Operational Databases,Stable,-0.97%
Personally Identifiable Information,Growing,-3.49%
Data Discovery,Stable,6.39%
Asset-Based Lending,Stable,3.57%
Negotiation Strategies,Growing,-0.84%
Insurance Products,Growing,5.31%
Earned Value Management,Growing,6.65%
Medication Preparation,Lagging,-1.93%
Requirements Elicitation,Stable,-0.81%
Data Synthesis,Growing,-1.27%
Contingency Planning,Growing,-1.10%
Videography,Stable,-3.36%
Total Quality Management,Lagging,-1.91%
Private Cloud,Growing,8.73%
Flux-Cored Arc Welding,Rapidly Growing,-12.89%
SAP Functional,Rapidly Growing,-1.54%
Microsoft OneNote,Stable,0.84%
IntelliJ IDEA,Rapidly Growing,6.48%
Oracle Linux,Growing,-40.00%
Filmmaking,Lagging,0.59%
Plowing,Growing,5.24%
Watir,Lagging,-15.00%
ArcSight Enterprise Security Manager,Growing,9.93%
Event Sponsorships,Stable,3.93%
Sales Records,Lagging,-6.15%
Polycom (Video Conferencing),Lagging,-1.13%
Advanced Negotiation,,
Ruby On Rails,Rapidly Growing,5.60%
Biopsies,Stable,0.70%
Business Case Analysis,Growing,-0.45%
Music Therapy,Growing,2.72%
Loan Assumptions,Growing,-7.69%
Microsoft Windows 10,Rapidly Growing,3.16%
Field Service Management,Growing,2.35%
Brand Awareness,Stable,3.70%
Storm Drains,Stable,-2.49%
Business-To-Consumer,Growing,10.63%
Occupational Hygiene,Growing,0.66%
Modern Greek,Stable,-8.15%
Kubernetes,Rapidly Growing,11.36%
Milestones (Project Management),Rapidly Growing,0.57%
Equipment Operation,Growing,-3.70%
Business Transformation,Growing,5.07%
Data Centers,Lagging,1.66%
Maintenance Engineering,Growing,11.80%
Data Classification,Stable,0.39%
Digital Advertising,Stable,6.18%
Sewage,Growing,-2.66%
Geographic Information Systems,Growing,0.80%
Oil Well Workover,Rapidly Growing,-5.05%
Sprint Planning,Stable,2.84%
PowerSchool (Software),Stable,-5.32%
Merchandise Exchanges,Rapidly Growing,3.85%
Midrange Computer,Growing,-18.19%
Medicaid Managed Care,Growing,5.13%
Pragmatic Marketing Framework,Growing,-10.94%
Concrete Forming,Stable,-3.45%
Microsoft Solutions Framework,Lagging,-0.66%
Poultry,Growing,-7.71%
Sample Management,Stable,3.27%
Merchandise Returns,Growing,0.12%
PeopleSoft Financial Management,Lagging,-0.80%
Dynamic Application Security Testing (DAST),Stable,-2.59%
Air Handler,Lagging,-1.58%
Progress Monitoring,Rapidly Growing,-6.04%
Venture Capital,Stable,2.12%
Organizational Architecture,Growing,0.05%
Vehicle Insurance,Growing,-3.49%
Operational Planning,Growing,-2.05%
Personal Health Records,Stable,7.28%
Cosmetics,Growing,-3.33%
Symptom Management,Growing,-4.38%
Airway Management,Growing,-0.28%
Link Budget,Stable,0.00%
Atmospheric Pressure,Stable,-2.68%
Amazon Elastic Container Service,Rapidly Growing,-7.29%
Service Catalog,Stable,0.89%
Demand Management,Rapidly Growing,9.74%
Visual Impairment Education,Stable,5.12%
Requirements Management,Stable,0.73%
VMware VSphere,Growing,-0.48%
Adult Cardiopulmonary Resuscitation (CPR),Lagging,4.08%
Construction Quality Management,Growing,0.07%
Picture Archiving And Communication System,Lagging,-1.97%
Diagnostic And Statistical Manual Of Mental Disorders,Stable,-5.54%
Bitbucket,Growing,4.38%
Dials,Growing,-4.41%
Retention Period,Stable,1.57%
Unsecured Debt,Stable,-6.35%
Surgical Technology,Stable,-12.17%
Trash Pickup,Lagging,-5.32%
Sediment,Stable,-3.58%
Next-Generation Sequencing,Growing,9.70%
Azure Cost Management,Stable,-7.14%
Custom Media,Rapidly Growing,6.25%
Oracle Business Intelligence (BI) / OBIA,Lagging,-3.54%
Web Application Development,Growing,4.58%
Joint Injection,Lagging,0.86%
Electrode,Lagging,0.74%
Fire Prevention,Lagging,0.58%
SpaCy (NLP Software),Stable,-1.65%
Specimen Transport,Lagging,1.37%
Maintenance Testing,Growing,1.83%
Stereotactic Surgery,Lagging,-2.02%
Product Testing,Stable,-0.80%
Garage Doors,Stable,3.05%
Public Address Systems,Growing,-5.61%
Clean Air Act,Stable,-1.05%
Weather Warning,Growing,-4.76%
Gerrit,Lagging,-11.48%
Leased Lines,Lagging,-6.82%
IP Multicasting,Growing,-17.91%
Tracheal Intubation,Lagging,1.80%
Dosage Form,Lagging,-4.31%
Network Functions Virtualization,Lagging,3.12%
Dry Powder Inhalers,Growing,-11.35%
Battle Rhythm,Growing,9.41%
Exercise Prescription,Growing,-5.04%
User Identification,Stable,2.25%
Staff Planning,Growing,-4.85%
Event Tracking,Lagging,-8.13%
Capability Development,Lagging,4.12%
SWOT Analysis,Growing,0.00%
Reputation Management,Growing,3.21%
LS-DYNA (FEA Software),Stable,2.06%
Bone Marrow Examination,Lagging,-1.82%
Enterprise Performance Management (EPM),Lagging,3.96%
Defense Travel Systems,Lagging,-3.25%
Hazard Mitigation,Growing,0.14%
Boring Mill,Stable,-18.02%
AC Power Plugs And Sockets,Stable,3.07%
Contractor Safety,Growing,-5.68%
Vapor-Compression Refrigeration,Stable,-0.99%
Enterprise JavaBeans,Stable,0.33%
Molecular And Cellular Biology,Lagging,-0.64%
Product Rationalization,Rapidly Growing,-3.18%
Ventilation Fans,Growing,-2.50%
In-Licensing,Stable,7.69%
Universal Asynchronous Receiver/Transmitter,Growing,4.61%
Word-of-Mouth Marketing,Growing,-1.64%
Asset Recovery,Lagging,-2.56%
LabWare LIMS (Software),Growing,-31.37%
Urban Affairs,Growing,0.00%
Purchase-To-Pay (P2P),Stable,1.60%
Phase I Environmental Site Assessment,Growing,8.48%
Weather Anchoring,Stable,-2.22%
Knurling,Stable,0.00%
Specflow,Stable,-0.77%
Irritable Bowel Syndrome,Rapidly Growing,-100.00%
Stressed VaR,Rapidly Growing,-25.00%
Amniocentesis,Lagging,-10.71%
Molecular Docking,Rapidly Growing,-5.88%
Culvert Design,Rapidly Growing,7.41%
Chronic Prostatitis/Chronic Pelvic Pain Syndrome,Rapidly Growing,0.00%
Bonfire,Lagging,-37.50%
Sales Process,Growing,-3.16%
Global Marketing,Growing,11.59%
Blood Glucose Monitoring,Stable,0.74%
Brachytherapy,Lagging,-2.29%
Science Education,Stable,-6.10%
Automation Anywhere (RPA Software),Stable,0.00%
Pelvic Health,Stable,2.72%
Integrated Circuits,Stable,4.57%
Trend Analysis,Growing,2.53%
Photo Mechanic,Growing,-26.09%
Consolidation,Growing,2.17%
Guidewire Core,Lagging,-8.68%
Carbon Steel,Rapidly Growing,-3.82%
Simple Network Management Protocols,Stable,0.11%
Sage 300 Construction And Real Estate,Lagging,-5.16%
Sight Reading,Lagging,-22.58%
ImageNow,Growing,6.45%
Meter Reading,Stable,-4.65%
.NET Framework 4,Growing,-6.25%
Legal Writs,Growing,3.26%
Cloud-Native Applications,Growing,10.04%
Tire Balancing And Rotation,Lagging,-9.97%
Price Checks,Growing,2.95%
Serial Peripheral Interface,Growing,0.00%
Cisco Adaptive Security Appliance (ASA),Lagging,-4.72%
Windows Service,Lagging,1.82%
Software Suite,Stable,-1.25%
Medical Diagnosis,Growing,-4.66%
LexisNexis,Stable,6.45%
Privileged Access Management,Rapidly Growing,-12.02%
Multi-Touch Marketing,Growing,8.30%
Knee Replacement,Stable,-0.78%
Guided Reading,Lagging,-11.83%
Laser Medicine,Rapidly Growing,-2.27%
Employee Communications,Stable,2.31%
Exercise Physiology,Stable,-4.90%
Endurance Assessment,Stable,-2.79%
Financial Instrument,Lagging,2.12%
Environmental Consulting,Rapidly Growing,4.50%
OSI Models,Growing,9.82%
Project Resources,Growing,2.36%
Vocational Guidance,Growing,3.45%
Integrated Product Development,Growing,3.09%
Cash Disbursement,Stable,-3.35%
Apptio (Financial Software),Growing,-4.94%
Farm Equipment,Rapidly Growing,-9.07%
Haskell (Programming Language),Growing,1.18%
Macola (ERP Software),Lagging,-6.41%
SQL Tuning,Lagging,-8.33%
Mass Communication,Stable,4.61%
Food Security,Lagging,-11.11%
Go Server,Growing,-11.91%
Diafiltration,Rapidly Growing,-25.00%
WebAssembly,Growing,16.00%
Multicasting,Growing,7.79%
Microsoft Backoffice Servers,Rapidly Growing,-4.17%
Risk Management Tools,Stable,-9.37%
Urban Forestry,Lagging,-0.87%
Small Business Financials,Rapidly Growing,-37.50%
SQL Server Management Studio,Stable,4.79%
Dental Implant,Growing,-1.91%
Enterprise Information Management,Lagging,1.40%
Stereophonic Sound System,Lagging,-1.52%
Memorial Services,Lagging,1.97%
Cloud-Native Infrastructure,Growing,-9.26%
Modulation,Stable,-3.63%
Random-Access Memory,Lagging,-5.32%
Secure Messaging,Stable,-5.00%
Flipped Classroom Model,Growing,-64.71%
Food Systems Management,Lagging,-8.33%
Management Control,Stable,-1.61%
Sledgehammers,Stable,-3.41%
Unified Messaging,Growing,2.44%
Public Finance,Stable,-1.27%
Child Nutrition,Growing,-10.21%
Gifted Education,Stable,4.51%
Management Component Transport Protocols,Growing,-17.24%
Metering Machine,Growing,5.88%
Mathematical Physics,Growing,-10.00%
Pose Estimation,Stable,-100.00%
Workforce Trends,Stable,-10.69%
Vizrt,Lagging,-4.88%
Prospect Research,Stable,-1.85%
Nasogastric Intubation,Stable,5.10%
General Anesthesia,Lagging,-27.27%
Disease Surveillance,Stable,2.26%
File System Permissions,Growing,-1.59%
System Sales,Lagging,-15.58%
Topographic Maps,Lagging,-1.09%
Interest Rate Risk,Lagging,-6.97%
Aironet Wireless Communications,Rapidly Growing,0.00%
Supplemental Instruction,Lagging,-9.44%
Modified-Barium Swallow Study (MBSS),Lagging,-3.11%
Net Health Optima,Growing,1.18%
Investigational New Drug Application,Growing,-16.67%
Devtools,Rapidly Growing,19.35%
Email Filtering,Stable,0.00%
Medical Device Development,Lagging,-1.96%
Desktop Deployment Planning Services,Rapidly Growing,-40.00%
Software Engineering 2004,Growing,8.43%
Oracle Adf,Stable,3.45%
Google Search Ads 360,Lagging,0.94%
Risk Prevention,Stable,3.85%
Java Architectures,Rapidly Growing,11.11%
Organic Synthesis,Lagging,-1.02%
Construction Law,Growing,7.43%
Environmental Geology,Stable,-5.88%
Infusion Pumps,Stable,0.00%
Real-Time Computing,Growing,-4.00%
Dairy Industry,Lagging,-9.35%
Physical Therapy Evaluation,Stable,-10.59%
Interior Design,Growing,-4.71%
Apple Cocoa,Stable,-5.97%
Rheology,Growing,12.50%
IP Cameras,Growing,4.17%
Lean Product Development,Stable,3.28%
Menopause,Rapidly Growing,-6.09%
Historical Archaeology,Lagging,-7.69%
Serial Communications,Rapidly Growing,2.44%
McAfee Epolicy Orchestrator,Growing,0.00%
Operational View,Rapidly Growing,-15.91%
Surface Mining,Rapidly Growing,-14.29%
File Copying,Growing,-7.25%
Signal Strength,Stable,7.53%
Separately Managed Accounts,Stable,-3.85%
Social Progress,Lagging,-11.54%
Wi-Fi Architecture,Lagging,-42.86%
Annealing (Metallurgy),Growing,-4.10%
Pharmacy Automation,Lagging,-0.76%
Server Migration,Stable,-7.32%
Letterpress Printing,Stable,-10.53%
Employment and Labor Laws,,
Open Systems Architecture,Growing,0.00%
Carbon Accounting,Lagging,-12.06%
Executive Protection,Stable,2.65%
Flavor Development,Growing,-11.77%
Ipro eCapture (eDiscovery Software),Lagging,-30.00%
Coastal Ecology,Rapidly Growing,-4.35%
Fluorescent Microscopy,Growing,12.70%
Water Towers,Rapidly Growing,17.86%
Data Archives,Growing,10.00%
Woodwind Instruments,Lagging,-14.44%
Artificial Respiration,Stable,-11.11%
Precision Engineering,Lagging,-2.17%
Tunneling Protocol,Growing,4.00%
Nadcap,Stable,-9.37%
Basic Access Authentication,Lagging,-8.33%
Smart Contracts,Lagging,-2.44%
Platform Design And Development,Rapidly Growing,25.00%
Battery Room,Growing,0.00%
Secret Internet Protocol Router Network (SIPRNet),Lagging,-1.81%
Cross-Docking,Lagging,-6.08%
Java Transaction API,Stable,-10.94%
Business Process Execution Language,Stable,0.00%
Structural Engineering Software,Growing,1.79%
Federal Housing Administration,Stable,0.00%
Interior Trim,Lagging,-4.74%
SewerCAD,Growing,-6.52%
Ehcache,Rapidly Growing,-14.29%
Sustainability Improvement,Growing,7.14%
Techlog,Rapidly Growing,0.00%
Quantity Surveying,Growing,3.53%
Wind Engineering,Growing,-8.33%
Forest Engineering,Growing,-14.74%
Claims Modeling,Lagging,-75.00%
Deployment Diagram,Lagging,0.00%
Dell Equallogic,Rapidly Growing,16.67%
Pyunit,Rapidly Growing,-37.50%
Business Rules Engines,Growing,5.26%
Image Optimization,Lagging,-39.22%
Ground-Penetrating Radar,Lagging,-10.13%
Atomic force microscope (AFM),Rapidly Growing,16.13%
JScript,Growing,-18.60%
Pipe Bursting,Rapidly Growing,-81.82%
Pathology Informatics,Rapidly Growing,0.00%
Traffic Shaping,Rapidly Growing,-9.09%
IEC 61508 Standard,Stable,-1.04%
Fastpath (Software),Lagging,-10.00%
Industrial Electrical Construction,Growing,5.46%
Literary Studies,Rapidly Growing,-5.36%
Video Encoding,Stable,-8.00%
Watchkeeping,Growing,-22.73%
Cardiomyopathy,Rapidly Growing,16.13%
Command Prompt,Stable,0.00%
Fashion Accessory,Growing,-18.97%
Transitional Bilingual Education,Growing,-11.54%
Short Films,Lagging,-47.89%
Facial Recognition,Rapidly Growing,5.41%
Human Rights Laws,Rapidly Growing,18.03%
Inheritance Patterns,Stable,-7.69%
Standard Occupational Classification Systems,Rapidly Growing,-15.79%
Membrane Roofing,Growing,0.00%
Prior Art,Lagging,-5.26%
Ear Tagging,Growing,0.00%
McAfee Enterprise Security Manager,Growing,0.00%
Front End Alignment,Stable,-5.88%
GNU Autoconf,Growing,-20.00%
Sidekiq,Lagging,-13.33%
Activation Systems Development,Lagging,-16.05%
Procreate (Software),Stable,0.00%
Amazon Timestream,Growing,-55.10%
Degradation Pathways,Rapidly Growing,5.56%
High Efficiency Particle Attenuation,Stable,3.57%
Visual Studio Tools for Office (VSTO),Rapidly Growing,-22.22%
Fixed Return Option (FRO),Lagging,-47.13%
Linear Referencing,Stable,0.00%
Asthma Action Plan,Rapidly Growing,-50.00%
Vapor Barrier,Lagging,-3.33%
Collisions,Stable,-11.52%
Finite Impulse Response,,
Blotting,Growing,-4.54%
WMS (Hydrology Software),Growing,5.56%
Safety Instrumented Systems,Growing,-10.43%
Apache Zeppelin,Lagging,-100.00%
Parametric Design,Rapidly Growing,15.56%
Text Classification,Growing,-6.67%
Message Transmission Optimization Mechanism,Rapidly Growing,0.00%
Mercury Cadmium Telluride,Growing,-16.67%
Suspension Cell Culture,Growing,4.35%
Web Ide,Rapidly Growing,-100.00%
Hierarchical Clustering,Rapidly Growing,28.57%
Scalable Vector Graphics,Rapidly Growing,0.00%
Hermetic Seal,Lagging,-6.25%
USB Flash Drives,Stable,0.00%
Positive Behavior Support,Lagging,-0.82%
Hospital Admissions,Growing,1.56%
Switchboard Operator,Lagging,-7.44%
IBM Maximo,Stable,3.59%
Acid/Base Chemistry,Stable,-1.09%
Health Policies,Stable,-4.05%
International Building Codes,Stable,-4.19%
Chemical Accidents,Stable,0.63%
Data Build Tool,Rapidly Growing,6.90%
Ophthalmic Photography,Growing,-3.92%
Urine Test Strip,Growing,2.45%
Data Encryption,Growing,7.91%
Induction Motor,Rapidly Growing,-6.67%
Workforce Investment Act,Stable,-3.45%
Weather Graphics,Growing,0.00%
Ukrainian Language,Rapidly Growing,-27.18%
Microsoft Online Services,Stable,5.03%
Medallia,Stable,0.00%
Douches,Growing,-4.63%
Blood Cell,Lagging,-6.94%
Data Curation,Lagging,-2.95%
Psychodrama,Lagging,-10.42%
ArcGIS Survey123,Growing,4.73%
ArcSDE,Lagging,-7.14%
Sales Tax Auditing,Lagging,-4.40%
Well Services,Stable,-7.32%
Computerized Payroll Systems,Growing,6.25%
Log Shipping,Stable,-9.84%
Freight Invoices,Stable,4.48%
Native Advertising,Stable,0.00%
Local Security Policy,Growing,3.80%
Base Station Subsystem,Lagging,-21.85%
Universal Database (UDB),Growing,9.26%
Flux Balance Analysis,Lagging,0.00%
Malware Reverse Engineering,Stable,-7.02%
Rehabilitation Technology,Rapidly Growing,2.63%
Reliability Maintainability And Safety,Growing,-17.07%
Bootstrapping,Stable,1.75%
Die Grinder,Stable,4.54%
Glass Industry,Lagging,-2.27%
Wound Assessment,Lagging,-2.92%
Concrete Vibrators,Lagging,-3.39%
Linux Packages,Lagging,-100.00%
Customer Requirements Analysis,Growing,-5.26%
Myofascial Release,Stable,-10.00%
Community Health Improvement,Growing,5.83%
Time Division Multiple Access,Lagging,-25.33%
Board Support Package (Software),,
Firebug,Growing,-5.00%
Eyelash Extensions,Lagging,-15.46%
Office Space Planning,Lagging,-9.68%
Unpivot,Rapidly Growing,0.00%
Magnification,Rapidly Growing,0.00%
CloudBase,Lagging,-23.08%
Liposomes,Rapidly Growing,12.50%
Institutional Change,Growing,3.03%
